1 , Mask, right
1 , Mask, left
1 , Mask, right
1 , Mask, left
1 , nonMask,  right
1 , nonMask,  left
2 , Mask, right
2 , Mask, left
2 , Mask, right
2 , Mask, left
2 , nonMask,  right
2 , nonMask,  left
3 , Mask, right
3 , Mask, left
3 , Mask, right
3 , Mask, left
3 , nonMask,  right
3 , nonMask,  left
4 , Mask, right
4 , Mask, left
4 , Mask, right
4 , Mask, left
4 , nonMask,  right
4 , nonMask,  left
5 , Mask, right
5 , Mask, left
5 , Mask, right
5 , Mask, left
5 , nonMask,  right
5 , nonMask,  left
